"decimalLongitude","decimalLatitude","species"
3484283.45273645,3328816.1770552,"Campanula latifolia"
3478024.9624787,3303432.98207923,"Campanula latifolia"
3478034.40358039,3315628.89914176,"Campanula latifolia"
3503963.53268158,3313334.3050598,"Campanula latifolia"
3504283.84068624,3303117.54348216,"Campanula latifolia"
3500345.18910776,3303774.64320561,"Campanula latifolia"
3477365.94906089,3299477.12534331,"Campanula latifolia"
3506582.84792132,3304766.58347585,"Campanula latifolia"
3485922.19973463,3326509.74870674,"Campanula latifolia"
3510201.5060185,3314325.87600464,"Campanula latifolia"
3513150.51678153,3307735.90597817,"Campanula latifolia"
3488539.80080804,3317941.29606319,"Campanula latifolia"
3470488.49858138,3318921.19985623,"Campanula latifolia"
3475086.53125928,3322219.70137508,"Campanula latifolia"
3492460.50248131,3292893.72129576,"Campanula latifolia"
3506262.77659167,3314983.22266874,"Campanula latifolia"
3466344.73645783,3318647.09583024,"Campanula latifolia"
3486252.5286845,3328487.51957491,"Campanula latifolia"
3512830.95421272,3317952.16593711,"Campanula latifolia"
3487863.47862498,3289594.90091021,"Campanula latifolia"
3493127.60086546,3309044.43975574,"Campanula latifolia"
3482632.46307498,3318927.26203476,"Campanula latifolia"
3484601.58555057,3318598.60939318,"Campanula latifolia"
3480983.02723738,3309038.13262655,"Campanula latifolia"
3508881.9550851,3306415.60389296,"Campanula latifolia"
3503644.73039764,3323550.99244303,"Campanula latifolia"
3508215.20719846,3290266.09514318,"Campanula latifolia"
3484921.22866672,3308381.0048509,"Campanula latifolia"
3492159.77738544,3327501.18917852,"Campanula latifolia"
3476851.82087292,3323398.97514454,"Campanula latifolia"
3495417.936413,3298498.54301,"Campanula latifolia"
3478999.44804534,3284974.67215998,"Campanula latifolia"
3487541.04496718,3299812.56374916,"Campanula latifolia"
3453969.63559285,3259161.73170103,"Campanula latifolia"
3452985.30765086,3253226.94806237,"Campanula latifolia"
3507142.26575313,3274692.94395071,"Campanula latifolia"
3477764.24676361,3244017.46815573,"Campanula latifolia"
3567422.66190283,3497840.83057844,"Campanula latifolia"
3589881.32660191,3652920.56688455,"Campanula latifolia"
3564393.76237203,3519640.40498359,"Campanula latifolia"
3551580.2352176,3559449.24030805,"Campanula latifolia"
5185961.25951971,3562043.61088065,"Campanula latifolia"
3592438.53465845,3847798.36659017,"Campanula latifolia"
4639000.60759688,2092990.31203202,"Campanula latifolia"
3571823.45197292,3550453.70855958,"Campanula latifolia"
3502349.0688939,3603417.59808583,"Campanula latifolia"
3567036.82682257,3504511.22716288,"Campanula latifolia"
3462570.02347897,3781131.51543175,"Campanula latifolia"
3636173.50121547,3247098.65108291,"Campanula latifolia"
3543454.72910201,3499833.62807516,"Campanula latifolia"
5255736.08086788,4494992.97796806,"Campanula latifolia"
5294258.24373101,4157610.26641844,"Campanula latifolia"
3611299.3299828,3252764.82275271,"Campanula latifolia"
3632232.93588496,3253847.33161484,"Campanula latifolia"
3607606.43118091,3239669.76013481,"Campanula latifolia"
3635352.57801661,3254343.07769129,"Campanula latifolia"
3632068.73597568,3252859.33514218,"Campanula latifolia"
3636396.42051889,3237161.76794123,"Campanula latifolia"
3602731.73742504,3246864.33937372,"Campanula latifolia"
3606622.82133374,3233740.14654777,"Campanula latifolia"
4194578.65417959,4010786.02058993,"Campanula latifolia"
4348249.90476235,4476601.4720298,"Campanula latifolia"
4345030.11429839,4093267.20746058,"Campanula latifolia"
4564042.83487359,4948309.85822718,"Campanula latifolia"
4516614.06623391,4887632.63622868,"Campanula latifolia"
4363721.99593361,4491346.15596841,"Campanula latifolia"
4518023.96197495,4899359.97083889,"Campanula latifolia"
4397908.86885746,4523790.16786826,"Campanula latifolia"
4398004.1321535,4524660.43660403,"Campanula latifolia"
4241152.6090001,4055117.21322765,"Campanula latifolia"
4318196.80563293,4046578.80467592,"Campanula latifolia"
4316904.58657727,4004338.84782033,"Campanula latifolia"
4386928.38473842,4054611.16865688,"Campanula latifolia"
4337657.80190375,4465652.56301755,"Campanula latifolia"
4326128.69526894,4046345.67970619,"Campanula latifolia"
4520515.24957933,4885748.36130129,"Campanula latifolia"
4328446.41482521,4490596.89739287,"Campanula latifolia"
4300599.52682657,4051341.16067802,"Campanula latifolia"
4364245.21110135,4198539.36897846,"Campanula latifolia"
4322745.26400177,4103529.25204806,"Campanula latifolia"
4368259.39725616,4179460.74112678,"Campanula latifolia"
4385940.25694583,4094625.91076016,"Campanula latifolia"
4588593.63869651,5078514.27443406,"Campanula latifolia"
4336183.96257566,4045906.95939193,"Campanula latifolia"
4341935.08906664,4231056.50644725,"Campanula latifolia"
4288971.88263913,3735799.09026207,"Campanula latifolia"
3524630.21765373,3319531.84017166,"Campanula latifolia"
3501814.10987891,3516987.69946984,"Campanula latifolia"
4738474.20804667,3048541.09196748,"Campanula latifolia"
4712410.21084775,3089476.14271937,"Campanula latifolia"
3518065.70744439,3509838.52461293,"Campanula latifolia"
3575952.10493915,3243763.54315138,"Campanula latifolia"
3605226.14351736,3505711.78206805,"Campanula latifolia"
4341744.90950162,4123877.4848667,"Campanula latifolia"
4545683.89617298,3899478.24116878,"Campanula latifolia"
4604053.52629948,4026113.05364196,"Campanula latifolia"
4527184.96581104,3658330.33969372,"Campanula latifolia"
4604262.95666425,3782475.96957199,"Campanula latifolia"
4580080.24385397,3676168.44560259,"Campanula latifolia"
4719182.71898677,4089540.26093431,"Campanula latifolia"
4562410.00424372,4078943.44736577,"Campanula latifolia"
4618410.74803654,3984209.46012865,"Campanula latifolia"
4705553.39303993,4023009.56416946,"Campanula latifolia"
4776395.93131087,4165427.12502162,"Campanula latifolia"
4564788.50807223,3848627.30572748,"Campanula latifolia"
4571915.91119202,3666975.2669128,"Campanula latifolia"
4819642.33541297,4117574.65469861,"Campanula latifolia"
4676993.4639882,4381140.78222716,"Campanula latifolia"
4750433.5094661,4451238.8463519,"Campanula latifolia"
4482971.37599405,3768415.40816893,"Campanula latifolia"
4720204.85093907,3743759.38361959,"Campanula latifolia"
4646828.95362443,3814340.51905147,"Campanula latifolia"
4308682.7906393,4064426.0839032,"Campanula latifolia"
4366270.79939271,4073916.41108319,"Campanula latifolia"
4341188.2825756,4242552.87637426,"Campanula latifolia"
4420461.17778897,4041031.58436923,"Campanula latifolia"
4002517.29865572,3175534.92366144,"Campanula latifolia"
4353101.05455935,4137676.78139333,"Campanula latifolia"
4435520.97337883,4756835.87588408,"Campanula latifolia"
4090106.48582696,4258050.73143952,"Campanula latifolia"
4310114.73831254,4464694.18734698,"Campanula latifolia"
4323395.04544853,4014382.84934795,"Campanula latifolia"
3523527.58993193,3761348.88389492,"Campanula latifolia"
3574279.6698108,3598270.94657648,"Campanula latifolia"
3721444.77561173,3255476.83139207,"Campanula latifolia"
3730827.34011313,3253152.09324643,"Campanula latifolia"
3731488.68544437,3269275.7927714,"Campanula latifolia"
3710142.33005201,3262688.43503024,"Campanula latifolia"
3680659.3895826,3291408.73459291,"Campanula latifolia"
4325022.40906645,4070669.20640673,"Campanula latifolia"
4335787.67928564,4454248.0364266,"Campanula latifolia"
4233945.13737751,4055746.05508271,"Campanula latifolia"
4381035.39470394,4195974.26985773,"Campanula latifolia"
4338904.4402365,4031916.62396047,"Campanula latifolia"
4225919.40872804,3203223.99611865,"Campanula latifolia"
4346172.34423975,4222357.64084388,"Campanula latifolia"
4351348.17705592,4088975.47994798,"Campanula latifolia"
4345275.97330765,4084114.78287631,"Campanula latifolia"
3524899.34210233,3769247.70632228,"Campanula latifolia"
